SnakeID,Date,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,M11,M12,M13
CRF3111,10/11/16,33.8,27.4,,27.4,,,,,,,,,
CRF3112,10/14/16,48,26.4,,,,,,,,,,,
EJE125,7/2/15,73.6,,,,,,,,,,,,
EJE126,7/3/15,157.9,89.4,,,,,,,,,,,
EJE190,5/24/17,25.8,36.6,29.4,25.8,18.3,,,,,,,,
EJE191,5/22/17,29.8,42.5,42.9,38.2,,,,,,,,,
REdC1,5/25/17,77.2,101.5,136.3,108.5,,,,,,,,,
REdC10,6/11/17,84.8,88,105.3,42.9,,,,,,,,,
REdC11,6/13/17,165.9,169.1,196.3,,,,,,,,,,
REdC2,5/26/17,121.2,90.8,122.5,,,,,,,,,,
REdC3,5/27/17,102.6,84.6,,,,,,,,,,,
REdC4,5/28/17,117.1,148.2,48,,,,,,,,,,
REdC5,5/28/17,110,119.1,33.6,,,,,,,,,,
REdC6,6/9/17,100.8,108.9,,,,,,,,,,,
REdC7,5/29/17,132.2,125.8,,,,,,,,,,,
REdC8,5/23/17,101.5,84.9,125,,,,,,,,,,
REdC9,6/11/17,133.3,105.6,,,,,,,,,,,
MTJH430,9/12/18,140.3,225.4,,157.2,,,,,,,,,
MTJH402,9/16/18,58,68.7,51.6,77.2,,,,,,,,,
MTJH399,9/23/18,43.3,59.5,52.3,,,,,,,,,,
MTJH394,11/23/18,29.2,40.8,82.5,51.3,74.2,,,,,,,,
MTJH390,11/30/18,87.8,40,60.4,65.3,88.6,107.8,,,,,,,
CRF3605,7/3/20,47.7,77,40.3,30.4,,,,,,,,,
CRF3606,7/5/20,41.2,31.4,,,,,,,,,,,
CRF3607,7/5/20,157.2,131.1,,,,,,,,,,,
CRF3608,7/9/20,33.6,,,31.1,,,,,,,,,
CRF3609,7/9/20,40,75.5,60.8,103.9,,,,,,,,,
CRF3610,8/7/20,86.4,123.9,,,,,,,,,,,
CRF3611,7/14/20,132.3,105.2,,95.8,,,,,,,,,
CRF3613,8/13/20,56.6,47.7,,,,,,,,,,,
CRF3614,7/15/20,113,109.8,110.4,111.1,,,,,,,,,
CRF3615,7/16/20,88.6,77.5,,86.4,,,,,,,,,
CRF3617,8/24/20,39.6,42.7,58.1,,,,,,,,,,
CRF3618,8/25/20,122.1,118.8,58.5,,,,,,,,,,
CRF3619,8/27/20,121.8,,,76.6,,,,,,,,,
CRF3620,8/29/20,69.2,81.3,76.4,,,,,,,,,,
CRF3621,8/12/20,62.3,84.2,95.9,,,,,,,,,,
JSR012,8/31/20,74.3,70.9,105.3,96.6,,,,,,,,,
JSR013,9/3/20,219,184.9,279.8,216.3,,,,,,,,,
JSR037,9/5/20,194.2,224.6,312.5,,,,,,,,,,
