Timestamp,Force (g),Position (mm),Stimulus
0,5.241468,3.668871,0.001720091
0.0001,5.238112,3.668222,0.001220727
0.0002,5.219655,3.669033,0.001303727
0.0003,5.2314,3.66725,0.001969818
0.0004,5.223011,3.667736,0.000887818
0.0005,5.206231,3.670005,0.001609091
0.0006,5.236434,3.668384,8.31818E-05
0.0007,5.246501,3.665953,0
0.0008,5.223011,3.669033,-2.77273E-05
0.0009,5.207909,3.671139,0.000998818
0.001,5.229722,3.667898,0.000693636
0.0011,5.234756,3.66725,0.001359455
0.0012,5.223011,3.668384,0.001442636
0.0013,5.2314,3.668222,0.000554909
0.0014,5.2314,3.667736,0.000638091
0.0015,5.204553,3.669843,0.001914364
0.0016,5.224689,3.669681,0.001803182
0.0017,5.249857,3.665143,0.002275
0.0018,5.241468,3.666764,0.001054273
0.0019,5.211265,3.669681,0.000222
0.002,5.217977,3.669681,0.001387091
0.0021,5.236434,3.667574,0.000943273
0.0022,5.223011,3.668384,0.001498091
0.0023,5.228044,3.667898,0.000582545
0.0024,5.243146,3.666764,0.001775455
0.0025,5.221333,3.668871,0.002025273
0.0026,5.206231,3.670329,0.001803273
0.0027,5.246501,3.667736,0.000499364
0.0028,5.253213,3.665953,-0.000249636
0.0029,5.217977,3.668709,-0.000249818
0.003,5.214621,3.669519,0.002219455
0.0031,5.236434,3.667412,0.001303909
0.0032,5.228044,3.66806,0.000804636
0.0033,5.223011,3.668546,0.000388364
0.0034,5.243146,3.66644,0.000638
0.0035,5.236434,3.66806,0.002275
0.0036,5.202875,3.670653,0.001969818
0.0037,5.228044,3.669519,0.001858727
0.0038,5.261603,3.665953,0.001525909
0.0039,5.234756,3.667412,0.000277545
0.004,5.219655,3.669357,0.001276182
0.0041,5.2314,3.667898,0.001914364
0.0042,5.243146,3.668709,0.000832273
0.0043,5.214621,3.669519,0.001442727
0.0044,5.238112,3.667412,-2.76364E-05
0.0045,5.254891,3.666278,0.001359273
0.0046,5.209587,3.670005,0.001498182
0.0047,5.209587,3.670491,0.001859
0.0048,5.243146,3.667412,0.001193
0.0049,5.261603,3.666764,0.001082
0.005,5.217977,3.669195,0.000582636
0.0051,5.228044,3.668709,0.002080727
0.0052,5.233078,3.667736,0.000998818
0.0053,5.221333,3.669681,0.000721364
0.0054,5.229722,3.668384,0.000887727
0.0055,5.248179,3.665791,0.000915455
0.0056,5.233078,3.668222,0.002080636
0.0057,5.197841,3.671788,0.001387091
