Timestamp,Force (g),Position (mm),Stimulus
0.000000,0.271606,0.001373,0.002441
0.000100,0.280762,0.001526,0.000916
0.000200,0.279236,0.002136,0.001221
0.000300,0.289917,-0.000458,0.000305
0.000400,0.302124,0.000916,0.000916
0.000500,0.292969,0.001068,-0.001221
0.000600,0.300598,-0.000153,0.004883
0.000700,0.312805,-0.001068,0.003662
0.000800,0.309753,-0.002441,0.003052
0.000900,0.317383,-0.000916,0.000000
0.001000,0.279236,0.000000,-0.004883
0.001100,0.274658,-0.000610,0.001221
0.001200,0.273132,-0.000610,0.002441
0.001300,0.289917,-0.000153,0.005798
0.001400,0.294495,0.001068,0.002441
0.001500,0.277710,0.003052,-0.001221
0.001600,0.274658,0.001221,-0.000916
0.001700,0.285339,0.000916,0.001221
0.001800,0.314331,-0.001526,0.002441
0.001900,0.315857,-0.000916,0.004272
0.002000,0.306702,-0.000305,0.000305
0.002100,0.291443,-0.000610,0.001526
0.002200,0.297546,-0.000458,0.000000
0.002300,0.294495,-0.001831,0.000000
0.002400,0.289917,-0.000916,0.001221
0.002500,0.268555,0.000916,-0.001221
0.002600,0.270081,0.001526,0.002747
0.002700,0.283813,0.001221,0.000916
0.002800,0.299072,0.001068,0.004272
0.002900,0.297546,0.000000,0.000916
0.003000,0.291443,0.001678,-0.001831
0.003100,0.292969,-0.000153,-0.000610
0.003200,0.303650,-0.001068,0.001221
0.003300,0.317383,-0.002747,0.003357
0.003400,0.299072,-0.001221,0.001831
0.003500,0.282288,0.000763,-0.000610
0.003600,0.276184,0.000000,0.001221
0.003700,0.276184,-0.000458,0.000916
0.003800,0.283813,-0.000305,0.002747
0.003900,0.288391,0.000916,0.000610
0.004000,0.282288,0.002441,0.000000
0.004100,0.280762,0.001984,0.001831
0.004200,0.288391,0.000000,0.003357
0.004300,0.312805,-0.000610,0.002441
0.004400,0.312805,-0.000916,0.000305
0.004500,0.300598,0.000000,-0.002747
0.004600,0.292969,-0.001221,-0.000916
0.004700,0.283813,-0.001526,0.000916
0.004800,0.299072,-0.001221,0.004578
0.004900,0.286865,0.000153,0.003967
0.005000,0.270081,0.001068,-0.000610
0.005100,0.265503,0.001831,0.000000
0.005200,0.270081,0.000763,-0.002136
0.005300,0.296021,0.000916,0.003052
0.005400,0.303650,0.001221,0.003052
0.005500,0.282288,0.001068,0.003052
0.005600,0.299072,-0.000305,0.001221
0.005700,0.296021,-0.001373,-0.000305
0.005800,0.317383,-0.001831,0.000000
0.005900,0.300598,-0.001221,-0.001526
0.006000,0.274658,-0.000305,0.000000
0.006100,0.271606,-0.001068,0.003357
0.006200,0.276184,0.000153,0.003662
0.006300,0.296021,-0.000305,0.003357
0.006400,0.282288,0.002136,0.000916
0.006500,0.267029,0.002289,-0.003052
0.006600,0.268555,0.001526,0.001221
0.006700,0.294495,0.000153,0.000000
0.006800,0.315857,-0.001221,0.006714
0.006900,0.318909,-0.000305,0.003662
0.007000,0.285339,0.000000,-0.000305
0.007100,0.296021,-0.000610,-0.002136
0.007200,0.282288,-0.001373,-0.003662
0.007300,0.292969,-0.001984,0.002747
0.007400,0.282288,-0.000153,0.004578
0.007500,0.263977,0.001831,0.003052
0.007600,0.271606,0.001221,0.001221
0.007700,0.282288,0.001831,0.000305
0.007800,0.291443,0.000000,0.000000
0.007900,0.294495,0.001678,0.002136
0.008000,0.280762,0.000763,0.000000
0.008100,0.294495,-0.000763,0.003052
0.008200,0.305176,-0.001526,0.001831
0.008300,0.311279,-0.001678,0.002136
0.008400,0.299072,0.000000,0.000610
0.008500,0.267029,0.000000,-0.000916
0.008600,0.267029,-0.001068,0.000000
0.008700,0.268555,0.000000,-0.000305
0.008800,0.291443,0.000458,0.002441
0.008900,0.292969,0.001984,0.002136
0.009000,0.270081,0.002899,0.001221
0.009100,0.274658,0.000000,0.000610
0.009200,0.297546,0.000153,-0.000610
0.009300,0.315857,-0.001526,0.000305
0.009400,0.312805,-0.000153,0.001831
0.009500,0.291443,-0.000305,0.000610
0.009600,0.274658,-0.001373,0.002441
0.009700,0.288391,-0.000763,0.000000
0.009800,0.296021,-0.000916,0.003052
0.009900,0.282288,0.000458,0.001526
0.010000,0.259399,0.002289,0.000000
0.010100,0.260925,0.000610,0.000000
0.010200,0.282288,0.001221,0.000000
0.010300,0.303650,0.000763,0.003662
0.010400,0.300598,0.000763,0.004272
0.010500,0.288391,0.001068,0.000305
0.010600,0.289917,-0.001373,0.000000
0.010700,0.308228,-0.001526,-0.003357
0.010800,0.309753,-0.001984,-0.000610
0.010900,0.289917,-0.000763,0.002136
0.011000,0.268555,0.000610,0.003357
0.011100,0.265503,0.000000,0.003357
0.011200,0.277710,0.000000,-0.000305
0.011300,0.291443,0.001068,0.000305
0.011400,0.277710,0.001831,-0.000916
0.011500,0.259399,0.002747,0.001526
0.011600,0.285339,0.000458,0.001831
0.011700,0.297546,-0.000763,0.003052
0.011800,0.326538,-0.001068,0.002747
0.011900,0.303650,-0.000153,0.001526
0.012000,0.291443,0.000153,-0.001221
0.012100,0.277710,-0.001526,-0.003052
0.012200,0.283813,-0.001984,-0.000916
0.012300,0.296021,-0.001526,0.002747
0.012400,0.282288,0.001526,0.006409
0.012500,0.262451,0.002289,0.002441
0.012600,0.267029,0.001678,0.000305
0.012700,0.280762,0.000305,-0.003967
0.012800,0.305176,0.000763,0.000305
0.012900,0.300598,0.000763,0.002747
0.013000,0.289917,0.000305,0.005493
0.013100,0.299072,-0.001526,0.003662
0.013200,0.297546,-0.001678,-0.002136
0.013300,0.317383,-0.000916,-0.000610
0.013400,0.288391,0.000000,-0.000610
0.013500,0.265503,0.000000,0.002136
0.013600,0.260925,-0.000916,0.002136
0.013700,0.280762,0.000305,0.001221
0.013800,0.302124,0.000610,0.002136
0.013900,0.288391,0.002899,0.001526
0.014000,0.270081,0.001526,0.000305
0.014100,0.282288,0.000610,0.000000
0.014200,0.303650,-0.000916,-0.002136
0.014300,0.321960,-0.001373,0.002747
0.014400,0.312805,-0.000458,0.003662
0.014500,0.280762,0.000000,0.002441
0.014600,0.280762,-0.000763,0.000916
0.014700,0.285339,-0.001068,0.000305
0.014800,0.297546,-0.001221,0.001221
0.014900,0.279236,0.001373,0.001831
0.015000,0.262451,0.001984,0.001221
