Timestamp,Force (g),Position (mm),Stimulus
0,1.979546,3.677784,0.001720091
0.0001,1.989614,3.674705,0.001220727
0.0002,2.009749,3.672274,0.001303727
0.0003,1.99297,3.675515,0.001969818
0.0004,1.987936,3.674705,0.000887818
0.0005,2.011427,3.671626,0.001609091
0.0006,2.008071,3.67276,8.31818E-05
0.0007,1.991292,3.675029,0
0.0008,2.008071,3.672274,-2.77273E-05
0.0009,2.011427,3.672112,0.000998818
0.001,2.001359,3.674543,0.000693636
0.0011,1.991292,3.67357,0.001359455
0.0012,2.011427,3.670977,0.001442636
0.0013,2.016461,3.67195,0.000554909
0.0014,1.994648,3.673895,0.000638091
0.0015,2.001359,3.671788,0.001914364
0.0016,2.016461,3.671139,0.001803182
0.0017,1.996326,3.674219,0.002275
0.0018,1.999681,3.67276,0.001054273
0.0019,2.013105,3.670005,0.000222
0.002,2.013105,3.672598,0.001387091
0.0021,2.001359,3.674057,0.000943273
0.0022,2.006393,3.670977,0.001498091
0.0023,2.011427,3.671464,0.000582545
0.0024,1.991292,3.674543,0.001775455
0.0025,1.986258,3.672274,0.002025273
0.0026,2.011427,3.670653,0.001803273
0.0027,1.991292,3.673895,0.000499364
0.0028,1.979546,3.673733,-0.000249636
0.0029,2.001359,3.671626,-0.000249818
0.003,1.99297,3.67195,0.002219455
0.0031,1.982902,3.674543,0.001303909
0.0032,1.979546,3.672922,0.000804636
0.0033,1.998004,3.671139,0.000388364
0.0034,1.986258,3.674219,0.000638
0.0035,1.969478,3.674381,0.002275
0.0036,1.986258,3.672436,0.001969818
0.0037,1.994648,3.672922,0.001858727
0.0038,1.969478,3.675515,0.001525909
0.0039,1.964445,3.674057,0.000277545
0.004,1.994648,3.672112,0.001276182
0.0041,1.977868,3.675191,0.001914364
0.0042,1.957733,3.675353,0.000832273
0.0043,1.986258,3.673084,0.001442727
0.0044,1.981224,3.673895,-2.76364E-05
0.0045,1.959411,3.676488,0.001359273
0.0046,1.966123,3.674705,0.001498182
0.0047,1.982902,3.673084,0.001859
0.0048,1.971156,3.676488,0.001193
0.0049,1.959411,3.676326,0.001082
0.005,1.981224,3.674219,0.000582636
0.0051,1.979546,3.674381,0.002080727
0.0052,1.961089,3.677622,0.000998818
0.0053,1.959411,3.676002,0.000721364
0.0054,1.991292,3.673409,0.000887727
0.0055,1.972834,3.677622,0.000915455
0.0056,1.959411,3.677298,0.002080636
0.0057,1.987936,3.674057,0.001387091
0.0058,1.98458,3.675353,0.000610273
0.0059,1.959411,3.678594,0.001331636
0.006,1.967801,3.674867,0.002469182
0.0061,1.996326,3.673895,0.000749091
0.0062,1.982902,3.678108,0.002385818
0.0063,1.966123,3.677946,0.000471727
0.0064,1.996326,3.674057,0.000527
0.0065,1.991292,3.675677,0.002053
0.0066,1.969478,3.678919,0.000832455
0.0067,1.979546,3.674867,0.000499455
0.0068,2.008071,3.673895,0.001414909
0.0069,1.98458,3.676326,0.000610273
0.007,1.97619,3.675677,0.00086
0.0071,2.009749,3.673246,0.001553727
0.0072,2.001359,3.673733,0.000998818
0.0073,1.979546,3.676488,0.001276182
0.0074,1.996326,3.673409,0.001442636
0.0075,2.016461,3.672112,0.000971091
0.0076,1.989614,3.675191,0.001442545
0.0077,1.994648,3.674057,0.000860182
0.0078,2.024851,3.671302,0.000305182
0.0079,2.001359,3.67357,0.001415
0.008,1.986258,3.674705,0.001470455
0.0081,2.008071,3.671788,0.002607909
0.0082,2.014783,3.67195,0.000860091
