Timestamp,Force (g),Position (mm),Stimulus
0,1.98423569742385,-0.001703,0.002835
0.0001,1.97752807510826,0.000566,-0.004296
0.0002,1.97752807510826,-0.000082,0.003159
0.0003,1.96244238945321,0.000242,-0.000082
0.0004,1.97250123710459,-0.001379,-0.000082
0.0005,1.97250123710459,-0.002027,0.000566
0.0006,1.98926253542752,-0.003648,-0.002351
0.0007,1.97752807510826,-0.002351,0.003807
0.0008,1.99093814809541,-0.002351,0.000242
0.0009,1.97250123710459,0.001214,-0.002999
0.001,1.97920368777615,-0.000730,-0.000406
0.0011,1.96076677678532,0.000890,0.000890
0.0012,1.97417684977248,-0.001055,-0.000082
0.0013,1.96746922745688,-0.001379,0.002835
0.0014,1.98926253542752,-0.003648,-0.003648
0.0015,1.97417684977248,-0.001703,0.006076
0.0016,1.98758692275963,-0.002999,0.000890
0.0017,1.97250123710459,0.002511,-0.000730
0.0018,1.98087930044404,-0.001379,0.001214
0.0019,1.95741555144954,0.001214,0.001863
0.002,1.96914484012477,-0.001703,0.002835
0.0021,1.96914484012477,-0.000730,0.003483
0.0022,1.98423569742385,-0.003972,0.000242
0.0023,1.96914484012477,-0.001379,0.005428
0.0024,1.98926253542752,-0.003972,0.004131
0.0025,1.9708256244367,0.002511,-0.001379
0.0026,1.97752807510826,-0.001055,0.002835
0.0027,1.96076677678532,0.001863,0.000242
0.0028,1.96746922745688,-0.001703,0.006724
0.0029,1.96579361478899,-0.000406,0.002187
0.003,1.98423569742385,-0.003323,0.001538
0.0031,1.97585246244037,-0.001055,0.003483
0.0032,1.98591131009174,-0.003323,0.005428
0.0033,1.96914484012477,0.002187,-0.002027
0.0034,1.97585246244037,-0.001055,0.003807
0.0035,1.9641180021211,0.002187,-0.001703
0.0036,1.9708256244367,-0.001055,0.006400
0.0037,1.9708256244367,-0.000406,-0.000082
0.0038,1.98423569742385,-0.002999,-0.000406
0.0039,1.97752807510826,-0.001703,0.002187
0.004,1.98926253542752,-0.002351,0.002187
0.0041,1.98087930044404,0.000890,-0.002999
0.0042,1.9708256244367,0.000242,-0.001703
0.0043,1.96746922745688,0.000566,-0.001055
