Timestamp,Force (g),Position (mm),Stimulus
0.000000,0.813501,-0.003357,0.002441
0.000100,0.829054,0.001678,0.000610
0.000200,0.788379,0.000305,0.002136
0.000300,0.806323,0.003662,0.003357
0.000400,0.769237,0.000305,0.000000
0.000500,0.812305,-0.001221,0.005188
0.000600,0.797949,-0.002747,0.000610
0.000700,0.845802,-0.001984,0.000000
0.000800,0.812305,0.001526,0.001526
0.000900,0.823072,0.001373,0.000305
0.001000,0.777612,0.003815,-0.002136
0.001100,0.800342,-0.000458,-0.000305
0.001200,0.789575,0.000305,0.000305
0.001300,0.815894,-0.003967,-0.004272
0.001400,0.811109,0.000763,0.001526
0.001500,0.826661,-0.001373,0.002136
0.001600,0.797949,0.005493,0.000610
0.001700,0.787182,0.001526,0.002747
0.001800,0.788379,0.003357,0.002747
0.001900,0.785986,-0.002747,0.002747
0.002000,0.825465,0.000000,0.002441
0.002100,0.813501,-0.002441,0.004272
0.002200,0.838624,0.001678,0.000610
0.002300,0.788379,0.001221,0.002747
0.002400,0.809912,0.003204,0.000610
0.002500,0.770434,0.000763,-0.001221
0.002600,0.814698,-0.002136,0.001831
0.002700,0.797949,-0.001678,-0.000610
0.002800,0.842213,-0.002289,-0.001831
0.002900,0.811109,0.003052,0.000305
0.003000,0.813501,0.000916,0.002136
0.003100,0.778808,0.004883,-0.001831
0.003200,0.793164,-0.001373,0.003052
0.003300,0.793164,0.000916,0.003052
0.003400,0.812305,-0.004272,-0.001831
0.003500,0.824268,0.000916,0.003052
0.003600,0.819483,-0.001526,0.000916
0.003700,0.808716,0.004883,0.003357
0.003800,0.777612,0.001831,-0.000305
0.003900,0.796753,0.001984,0.003357
0.004000,0.782397,-0.002747,-0.001526
0.004100,0.829054,-0.001678,0.000916
0.004200,0.809912,-0.001221,0.003357
0.004300,0.832643,0.000305,0.000000
0.004400,0.783593,0.003052,0.004883
0.004500,0.806323,0.001984,0.000305
0.004600,0.768041,0.002289,0.002747
0.004700,0.805127,-0.002441,0.002747
0.004800,0.790771,-0.001068,0.001526
0.004900,0.837428,-0.003204,-0.000610
0.005000,0.815894,0.002747,0.000000
0.005100,0.811109,0.000305,0.000000
0.005200,0.782397,0.004730,-0.005188
0.005300,0.782397,-0.001678,-0.000916
0.005400,0.793164,0.000000,-0.000916
0.005500,0.802734,-0.004578,-0.003052
0.005600,0.829054,-0.000458,0.001526
0.005700,0.809912,-0.001373,0.002136
0.005800,0.814698,0.003662,0.003662
0.005900,0.775219,0.002289,0.003052
0.006000,0.801538,0.001221,0.005188
0.006100,0.777612,-0.001831,0.001831
0.006200,0.831446,-0.002289,0.005188
0.006300,0.809912,-0.001221,0.003357
0.006400,0.842213,-0.000763,0.000305
0.006500,0.797949,0.003357,0.004272
0.006600,0.805127,0.001678,-0.000610
0.006700,0.776415,0.003967,0.000000
0.006800,0.799145,-0.002441,0.001831
0.006900,0.803931,-0.000305,0.000000
0.007000,0.827857,-0.003357,-0.001831
0.007100,0.824268,0.003052,0.000916
0.007200,0.807520,0.000763,0.000000
0.007300,0.797949,0.004883,-0.002136
0.007400,0.781201,0.000153,0.002747
0.007500,0.805127,0.000000,0.001221
0.007600,0.795556,-0.003204,-0.001831
0.007700,0.841017,-0.001068,0.001831
0.007800,0.811109,-0.000305,0.002747
0.007900,0.825465,0.002899,0.001221
0.008000,0.778808,0.003662,0.002136
0.008100,0.800342,0.000610,0.001221
0.008200,0.780004,0.000000,0.000610
0.008300,0.823072,-0.002899,0.003052
0.008400,0.815894,0.000305,0.002136
0.008500,0.832643,-0.001526,0.002441
0.008600,0.801538,0.004272,0.004883
0.008700,0.795556,0.001068,0.001831
0.008800,0.782397,0.004425,0.001526
0.008900,0.791968,-0.002594,0.002747
0.009000,0.814698,-0.000610,0.000610
0.009100,0.823072,-0.003204,-0.004883
0.009200,0.835035,0.001526,0.000916
0.009300,0.800342,0.001221,-0.001831
0.009400,0.801538,0.003204,-0.002747
0.009500,0.774023,0.001068,0.001526
0.009600,0.806323,-0.001678,0.000000
0.009700,0.789575,-0.001678,0.000000
0.009800,0.833839,-0.002747,0.001831
0.009900,0.808716,0.001373,0.004578
0.010000,0.823072,0.001221,0.002136
0.010100,0.776415,0.005035,0.003967
0.010200,0.789575,-0.000305,0.001831
0.010300,0.782397,0.000763,0.000000
0.010400,0.814698,-0.003815,0.003052
0.010500,0.819483,0.000000,-0.000610
0.010600,0.818287,-0.001984,0.000916
0.010700,0.809912,0.003510,0.001221
0.010800,0.783593,0.000916,0.000000
0.010900,0.795556,0.003204,0.000610
0.011000,0.780004,-0.002136,0.003662
0.011100,0.820679,-0.002136,0.003052
0.011200,0.809912,-0.002594,-0.000305
0.011300,0.846999,0.000153,0.003967
0.011400,0.802734,0.001526,0.000000
0.011500,0.808716,0.001831,0.000610
0.011600,0.777612,0.001678,0.001831
0.011700,0.809912,-0.002594,0.000000
0.011800,0.799145,-0.000763,-0.002441
0.011900,0.833839,-0.003357,0.000000
0.012000,0.815894,0.002289,0.001221
0.012100,0.821876,0.000763,-0.000305
0.012200,0.785986,0.006104,0.002136
0.012300,0.782397,0.000000,0.001221
0.012400,0.793164,0.001221,0.001831
0.012500,0.802734,-0.003052,0.004272
0.012600,0.831446,0.000000,0.003052
0.012700,0.812305,-0.000610,0.003052
0.012800,0.825465,0.003052,0.004272
0.012900,0.776415,0.002136,0.001831
0.013000,0.806323,0.002899,0.000610
0.013100,0.776415,-0.000916,0.003967
0.013200,0.824268,-0.002594,0.000305
0.013300,0.811109,-0.001526,-0.001526
0.013400,0.846999,-0.000763,0.000305
0.013500,0.799145,0.003510,-0.001221
0.013600,0.805127,0.001068,-0.000916
0.013700,0.777612,0.004120,0.000916
0.013800,0.797949,-0.002899,0.001526
0.013900,0.801538,0.000458,-0.000610
0.014000,0.820679,-0.004272,0.001831
0.014100,0.827857,0.002136,0.001831
0.014200,0.811109,0.000305,0.000000
0.014300,0.803931,0.005493,0.002441
0.014400,0.774023,0.000458,-0.003967
0.014500,0.801538,0.000610,0.001526
0.014600,0.788379,-0.002289,0.000610
0.014700,0.832643,-0.001526,-0.001526
0.014800,0.807520,-0.000916,0.002136
0.014900,0.829054,0.000916,0.003967
0.015000,0.775219,0.003815,0.003662
0.015100,0.801538,0.002289,0.002136
0.015200,0.769237,0.001678,0.007324
0.015300,0.808716,-0.003662,0.000916
0.015400,0.802734,0.000000,0.002747
0.015500,0.833839,-0.002747,0.003967
0.015600,0.806323,0.002899,-0.001526
0.015700,0.800342,0.000153,0.001221
0.015800,0.782397,0.004578,-0.002747
0.015900,0.780004,-0.001984,-0.001526
0.016000,0.800342,0.000000,-0.001831
0.016100,0.803931,-0.004730,0.000000
0.016200,0.838624,0.000000,-0.001221
0.016300,0.809912,0.000000,0.000610
0.016400,0.818287,0.003357,0.003967
0.016500,0.768041,0.001984,-0.001831
0.016600,0.806323,0.000000,0.004883
0.016700,0.783593,-0.001373,0.002747
0.016800,0.832643,-0.003204,-0.000305
0.016900,0.807520,0.000000,0.002747
0.017000,0.833839,-0.000458,0.002747
0.017100,0.790771,0.005035,0.001526
0.017200,0.799145,0.001526,0.000000
0.017300,0.775219,0.002899,0.002747
0.017400,0.800342,-0.003662,-0.000610
0.017500,0.807520,0.000916,0.001831
0.017600,0.826661,-0.003052,0.003052
0.017700,0.818287,0.002899,0.000305
0.017800,0.794360,0.000763,0.003967
0.017900,0.799145,0.005035,0.000610
0.018000,0.774023,0.000000,0.000916
0.018100,0.811109,0.000000,0.002441
0.018200,0.796753,-0.003662,0.000916
0.018300,0.845802,-0.001068,-0.001221
0.018400,0.807520,0.000458,0.000916
